ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0038,Youth and Young Women Livelihoods DIB in Senegal and Tanzania,,Current,,source1,,Early stage,source1,Feasibility Study conducted in 2018. Currently finalising a Scoping and Marketing study with the objective to confirm service providers’ interest in participating to the DIB and secure expressions of interest from a pool of potential outcome funders and investors. Structuring phase expected to start in Q2-Q3 2022 – fundraising for the structuring costs ongoing.,Yes,No,No,No,No,No,,source1,,No,,source1,,Q2 - 2023 or later,12-24 months,4,Q4 2021,source1,,"Clear outcomes identified to finance these interventions through a DIB, will to strengthen service’s providers capabilities in delivering in the context of a RBF mechanism",source1,,Securing outcome funding in a post-pandemic context,source1,,No,No,Yes,No,Domestic governments will be consulted to ensure alignment of interventions with national priorities and will be engaged to design the exit strategy and ensure a sustained impact of the interventions,source1,,No,No,No,n/a – service providers to be selected during the structuring phase. Methodology selection will depend on the Outcome Funder.,source1,TBD,Yes,source1,,Yes,No,No,Yes,,source1,,No,TBD,source1,,USD,1500000,source1,USD$5-15m funding requirement estimated during the feasibility study per country,The analysis of Senegal’s and Tanzania’s socio-economic contexts showed a mismatch between available skills and job market needs as well as the vulnerability of the youth and particularly young women when it comes to unemployment or decent employment. The development of both vocational training to equip young people with adequate competencies and entrepreneurial skills stands out among the main priorities identified in both countries. Access to capital for the youth and young women is also a key issue identified.,"Feasibility study confirmed the relevance of 5 types of interventions: life-skills development, vocational training, support to entrepreneurship, job placement services and financial inclusion. Intervention model to be further defined around at least one of these categories in collaboration with the selected service provider(s) during the strucuturing phase.",Yes,Yes,No,No,No,No,No,No,No,No,Other: Gender,,"1, 4, 5, 8, 10, 17",,,source1,,Young people aged 15 to 35 years old with a specific focus on young women,TBD during the structuring phase,Individual,,No,Yes,No,No,source1,,,"Senegal, Tanzania","SN, TZ"
INDIGO-PL-0039,INNOVAEDU: Pago-Por-Resultados de Innovaciones Educativas en El Salvador,,Current,,source1,,Early stage,source1,Right now both operations are in the stage of design.,Yes,,,No,No,,,source1,,No,,source1,,Q4 - 2022,12-24 months,3,Q4 2021,source1,,Promote a culture of intervention based on result and engage private actors,source1,,"Identifying actors with disposition to co-create this intervention, fast learning about the instruments, identifying private investors that could support the model and developing a market",source1,,Yes,No,No,No,Informed and possible scale,source1,,No,No,No,"Scoping study conducted last year, there where some possible providers pre-identified",source1,,Yes,source1,,No,No,No,Yes,,source1,,No,,source1,,USD,1500000,source1,$1.5MM,"Throughout the last decade, El Salvador has faced multiple educational challenges that has conditioned its socioeconomic development and slowed its progress towards quality, inclusive and equitable education, eg. violence in schools, overage students, low quality educational offer and of little relevance to the needs of the future labor market, among others. All these challenges contribute to the “funnel effect” of exclusion from the educational system: “many start, few finish, and those who learn are even fewer” . In essence, the funnel effect explains the impact that multiple barriers have on students' educational trajectories towards reaching minimum levels of learning necessary for work and life, and which have been exacerbated by Covid-19. Within this framework, this project will address two interrelated challenges: (i) Early dropouts at the secondary level, and (ii) acquisition of Skills for the 21st century.","TBD. Interventions primarily targeting to increase STEM knowledge and abilities, as well as to reduce drop out rates",No,Yes,No,,No,No,No,No,No,No,,,"4, 5",,,source1,,Secondary students from 5th - 7th grades in Honduras and from 7th-9th grades in El-Salvador in both countries with a gender focus.,1500,,,,,,,source1,"Approximately, 1000 – 1,500, 40% - 50% girls",,El Salvador,SV
INDIGO-PL-0043,The Future Hope of Addis,,Current,,source1,,Early stage,source1,There is clear RBF value add in the Future Hope of Addis program that the City Administration is currently implementing. Internal discussions are undergoing to decide whether we will move ahead with the Design phase,No,No,No,No,Yes,No,Performance-Based-Aid,source1,,No,,source1,,Q2-2023 or later,12-24 months,TBD,Q2-2022,source1,,"Focus on results, improve accountability to desired results, evidence generation of cost-effective ECD interventions and crowd-in additional funding",source1,,"• Complex design due to the holistic nature of the program and engagement with multiple stakeholders involved in the program
• The program requires high levels of support to the City Administration to develop the necessary capacities for the implementing actors, strengthen coordination, and create the right accountability mechanisms to achieve the ambitious results of the program",source1,,No,Yes,No,No,The City Administration of Addis Ababa will be the incentivized agent,source1,,No,Yes,No,Government service providers will implement the intervention,source1,"There is no selection of provider as the RBF program aims to strengthen the government´s delivery system. Therefore, public providers will be responsible for implementing the program.",Yes,source1,,No,No,No,Yes,Performance-based aid,source1,,Yes,A grant was awarded to develop the feasibility study,source1,,TBD,TBD,source1,,"Improve access to quality ECD, decrease under 5-mortality rates, underweight and stunting","The Future Hope of Addis takes a comprehensive,  multisectoral approach to addressing the developmental needs of children. It includes the following strategic initiatives
1.        Provision of coaching, health, and social support for parents and caregivers, including prenatal and postnatal advice and supplementary feeding for vulnerable children to improve child nutrition and reduce the stunting rate
2.        Establishment of community-run early childhood development centres
3.        Establishment of publicly financed day care centres between the ages of seven months and three years
4.        Expansion of equitable access to quality preschools for four to six year-old children
5.        Promotion of learning through play within a child-friendly environment
6.        Establishment of a Centre of Excellence for ECD in Addis Ababa to improve workforce capacities to provide developmentally appropriate pedagogies to build and advance a sustaining early childhood development sector in Ethiopia",No,Yes,No,No,No,No,No,No,No,No,Early Childhood Development,,"2, 3, 4",,,source1,,TBD,TBD,,,Yes,No,No,No,source1,TBD for the RBF component. Current program being implemented by the City Administration aims to reach all 1.6 million children in Addis Ababa between 0-6 years old by 2026.,,"Addis Ababa, Ethiopia",ET
INDIGO-PL-0044,Strengthening of Healthcare Facilities at PCMC through Social Impact Bond,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,No,,source1,,Q3 - 2022,12-24 months,3,Q1-2021,source1,,Create sustained improvements in quality and efficiency of service delivery by shifting focus from outputs to outcomes,source1,,"As the first-of-its-kind SIB managed by a Municipal authority in India, a key challenge has been aligning the SIB design process with government procurement processes",source1,,Yes,No,No,No,,source1,,No,Yes,Yes,,source1,,Yes,source1,,No,No,No,No,TBD,source1,,Yes,UNDP provided Technical Assistance to Palladium to design the project,source1,,INR,13000000,source1,INR 1000 million = Approx US $ 13 million,Improve the quality of healthcare facilities in PCMC,"Overall strengthening of all PCMC healthcare facilities, strengthening of the Secondary Care Hospitals",No,No,No,No,Yes,No,No,No,No,No,,,3,,,source1,,Beneficiaries of health facilities,2500000,Individual,,No,Yes,No,No,source1,"2 million outpatients in 28 dispensaries, 12 secondary care hospitals and one tertiary hospital",,"Pune, Pimpri Chinchwad Municipal, India",IN
INDIGO-PL-0046,Reto Migrante,,Current,,source1,,Late stage,source1,,No,No,No,No,Yes,No,,source1,,No,,source1,,Q3-2022,0-6 months,1.5,Q4-2021,source1,,"Government of Colombia and European Union are interested to explore innovative funding mechanisms to help achieve better results for job placement in Colombia, especially as can help vulnerable populations like migrants and returned Colombians",source1,,Diversity of job markets and demand for labor in different cities across Colombia.,source1,,Yes,No,No,No,Prosperidad Social and Fondo Logra at Colombian government entities that are involved in the design process and plan to add funds to the pot with European Union to pay for outcomes,source1,,Yes,No,No,,source1,,No,source1,,No,No,No,No,,source1,,No,,source1,,COP,11000000000,source1,2900000 USD,Help migrants and repatriated Colombians have capacity and access to jobs,"Traditional workforce development programs: operators provide capacity training, etc.",Yes,No,No,No,No,No,No,No,No,No,,,8,,,source1,,"Unemployed migrants and repatriated Colombians who meet eligibility requirements (e.g., proper identification, certain poverty level, have not already recently participated in similar social programs)",3000,Individual,,No,No,Yes,No,source1,Approximately 3000 job placements,,Colombia,CO
INDIGO-PL-0047,Child Development Centers (Colombia),,Current,,source1,,Late stage,source1,,No,No,No,No,Yes,No,,source1,,No,,source1,,Q3-2022,0-6 months,1.5,Q4-2021,source1,"As of May 2022, design is near completion. The Government of Colombia plans to select and contract operators and launch the program Q3 2022.",,,,,,,Yes,No,No,No,ICBF will be outcome payer and has been involved in design conversations. We are exploring if we can leverage the outcomes fund structure built in the Colombian government (Fondo Logra) to launch the instrument.,source1,,Yes,No,No,,source1,To be confirmed. Estimated 3-5 private Child Development Center operators around Colombia,Yes,source1,,No,No,No,No,,source1,,No,,source1,,COP,TBD,source1,Perhaps between 20.000.000.000 and 25.000.000.000 COP,Help the Colombian government assure that designated Child Development Centers provide quality services for child development,Child Development Centers are required to provide certain services. The Colombian government will incentivize them to focus on achieving certain results for “quality of services” and “child development” to help improve performance,No,Yes,No,No,No,No,No,No,No,No,Early Childhood Development,,4,,,source1,,Children (0-5) served by Child Development Centers,3000,Individual,,No,No,Yes,No,source1,TBD: approx. 3000 children,,Colombia,CO
INDIGO-PL-0048,UNHCR’s Poverty Graduation Impact Bond in Colombia,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,No,,source1,,Q2 - 2023,6-12 months,6.5,Q4-2021,source1,,"•        A need to leverage an evidence-based approach that is focused on outcomes delivered
•        An opportunity to leverage UNHCR Graduation Model experience
•        An opportunity for innovations to tailor the effectiveness of the delivery of the Graduation Approach to the needs of displaced populations 
•        An opportunity to leverage a developed country ecosystem with development stakeholders and private sector who are willing to share risks 
•        An opportunity to leverage country leadership and experience with impact bonds, including previous successful impact bond issuances and desire to issue more, as well as progressive government policies, such as Temporary Protection Status that creates opportunities for inclusion.",source1,,"Instrument design is currently ongoing during national elections and change of government (first round voting May 29, 022). This may delay / affect commitments. ",source1,,Yes,No,Yes,No,,source1,"The GoC could potentially be an outcome payer. If this Impact Bond is contracted to the Colombian Outcomes Fund, DPS could also be a technical Project Manager with UNHCR.",Yes,No,No,TBD through request for proposals,source1,,No,source1,,No,No,No,No,,source1,,Yes,,source1,,USD,40000000,source1,TBD: perhaps between USD 10-40 million,To deploy the first large-scale Graduation Approach program focused on refugees which aims for the highest graduation rate achieved so far for this population.,"Led by UNHCR, service providers will implement a Graduation Approach program that includes as minimum components: basic needs assistance, income generation for self-employment and job employment tracks, financial support and savings, and integration/psychosocial support/social empowerment. ",No,No,Yes,No,No,No,No,No,No,No,Poverty alleviation,,1,,,source1,,"Venezuelan migrants/refugees, internally displaced Colombian, and host community living in extreme poverty","10,000 - 15,000",Individual,,No,No,Yes,No,source1,"TBD: approx. 10,000 households (50% Venezuelans and 50% Colombians)",,Colombia,CO
INDIGO-PL-0049,MCC Senegal Power Compact: Utility performance incentive program,,Current,,source1,,Early stage,source1,"Feasibility/ scoping completed, entering into design",No,No,No,No,Yes,No,,source1,,No,,source1,,Q2-2023 or later,12-24 months,2.5,Q4 2022,source1,,,,,,,,No,No,Yes,No,,source1,The Government of Senegal will play a governance role and will be targeted to sustain the program,No,Yes,No,State-owned utility is key beneficiary of the broader MCC funding,source1,,Yes,source1,,No,No,No,No,,source1,,Yes,,source1,,USD,5500000,source1,,"Lack of universal, affordable access to electricity in Senegal, which hampers economic growth and contributes to inequality.","No specific intervention. The utility company will be incentivized to improve their normal operations of service provision (connecting customers, providing electricity supply, etc.).",No,No,No,No,No,No,No,No,Yes,No,,,7,,,source1,(Sector: Energy/Electricity),Utility clients (further specifications will be provided in the future),"Not known at the moment, but reach should include all the utility clients",Individual,,No,Yes,No,No,source1,,,Senegal,SN
INDIGO-PL-0050,Performance-based contract to achieve gender-transformative results in rural agriculture in India,,Current,,source1,,Early stage,source1,"Feasibility/ scoping completed, entering into design",No,No,No,No,Yes,No,,source1,,Yes,IFAD's Gender Transformative Mechanism,source1,,Q1-2023,5 years,5,Q2-2021,source1,,,,,,,,No,Yes,Yes,No,A government corporation (MAVIM) is the main implementing partner. Other government actors will also play roles in oversight and governance.,source1,,No,Yes,No,MAVIM is the implementing partner for the IFAD loan that this contract is meant to act in concert with.,source1,,Yes,source1,,No,No,No,No,,source1,,Yes,,source1,,USD,5700000,source1,,Persistent gender inequality in rural agriculture and the need for more gender transformative results to create lasting change for women.,"The project aims to capitalize on the successful gains in women's equality in Maharashtra during previous IFAD loans with the targeted implementor. To do so, the project will establish a Centre of Excellence (COE) for Gender Transformation within the implementor. The COE will aim to improve gender equality by influencing the Govt of Maharashtra's policies and budgeting, as well as by influencing other actors in India and globally by transferring best practices, etc.",No,No,No,No,No,Yes,No,No,No,No,"Gender equality, agriculture, rural development",,"1,5,10",,,source1,"Gender equality, agriculture, rural development","Smallholder farmers working in targeted value chains, their grassroots farmers' organizations, and entrepreneurs involved in related activities along the targeted value chains.",1000000,Other,Households,No,Yes,No,No,source1,,,India,IN
INDIGO-PL-0051,Performance-based contract to achieve gender-transformative results in rural agriculture in Burkina Faso,,Current,,source1,,Early stage,source1,"Feasibility/ scoping completed, entering into design",No,No,No,No,Yes,No,,source1,,Yes,IFAD's Gender Transformative Mechanism,source1,,Q1-2023,TBD,4,Q2 2021,source1,,,,,,,,No,Yes,No,No,"The government (specifically, the Minsitry of Agriculture) is the main implementing partner.",source1,,No,Yes,No,Ministry is the implementing partner for the IFAD loan that this contract is meant to act in concert with.,source1,,Yes,source1,,No,No,No,No,,source1,,Yes,,source1,,USD,6300000,source1,,Persistent gender inequality in rural agriculture and the need for more gender transformative results to create lasting change for women.,"A set of interventions have been identified to complement an IFAD loan in implementation. Projected interventions centre on: (1) transforming gender social norms, (2) improving women's land rights, (3) strengthening women's access to larger-scale and longer-term financial credit, (4) improving women's business and entrepreneurial skills, and (5) increasing women's role in leadership and decision-making in value chain organizations.",No,No,No,No,No,Yes,No,No,No,No,"Gender equality, agriculture, rural development",,"1,5,10",,,source1,,"Smallholder farmers working in targeted value chains, their grassroots farmers' organizations, and entrepreneurs involved in related activities along the targeted value chains in 4 regions: Sud-Ouest, Hauts-Bassins, Cascades and Boucle du Mouhoun.",97000,Other,Households,Yes,No,No,No,source1,,,Burkina Faso,BF
INDIGO-PL-0052,Colombia+Competitiva: SECO,,Current,,source1,,Late stage,source1,Late-stage (RBF Instrument Design),No,No,No,No,Yes,No,,source1,,No,,source1,,Q2-2022,6-12 months,2,Q4-2021,source1,,Pilot the use of results-based financing (RBF) instruments to improve the impact of interventions that aim to strengthen productive chains.,source1,,,,,No,No,No,Yes,,source1,,No,Yes,No,The program conducted an evaluation and selection process to choose the 2 service providers that will be part of the RBF pilot.,source1,,Yes,source1,,No,No,No,No,,source1,,,,,,USD,660000,source1,,Increase economic and ecological growth through the development of sustainable value chains.,"Coffee: Traditional technical assistance to improve coffee quality and increase exports. Cacao: Construction of a production plant to develop, produce, and export products based on cacao residues.",Yes,No,No,No,No,No,No,No,No,No,,,,,,source1,Policy sector: Competitiveness,"Sucafina - Coffee: Coffee producers in Planadas, Tolima
Casa Luker – Cacao: Cacao farm in Villanueva, Casanare",Approx. 300 coffee producers - TBD cacao producers,Individual,,No,No,Yes,No,source1,,,Colombia,CO
INDIGO-PL-0053,RBF for Health System Strengthening in Lesotho,,Current,,source1,,Early stage,source1,Feasibility/ scoping completed,No,No,No,No,Yes,No,,source1,,No,,source1,,TBD,TBD,4.0,Q1-2023,source1,,,,,,,,No,Yes,No,No,Implement/roll out complementary HSS strategies and oversee implementation,source1,,No,Yes,No,Through a rapid feasibility assessment that identified DHMTs as the service providers with the greatest potential to drive optimal delivery of PHC services.,source1,,Yes,source1,,No,No,No,No,,source1,,No,,source1,,,TBD ~ USD 4.000.000,source1,,"The Lesotho health system faces significant challenges resulting in poor health outcomes that hinder productivity and impose a significant burden on the Government of Lesotho (“GoL”) and households in terms of health care expenditures, as well as hampers efforts to alleviate poverty in a country where 57% of the population lives in extreme poverty. ","(1) Create an enabling environment to improve primary health care (PHC) delivery by driving reforms in the planning, budgeting, and health financing policies and processes.
(2) Improve District Health Management Teams' (DHMTs) performance through incentives",No,No,No,No,Yes,No,No,No,No,No,,,3,,,source1,,The Basotho people in all ten districtis of Lesotho.,~TBD,Individual,,No,Yes,No,No,source1,,,Lesotho,LS
INDIGO-PL-0054,Sierra Leone Education Innovation Challenge,,Launched,,source1,,Final negotiations,source1,"(Close to contract signature, to begin implementation in September 2022)",No,Yes,No,No,No,No,,source1,,No,,source1,,Q3 - 2022,>24 months ,3,Q1-2020,source1,,Learning levels in Sierra Leones remain among the lowest in the world. Outcomes based financing is being used to achieve improvements in learning outcomes by engaging with non-state actors and aligning incentives to improve learning. The programme is meant to inform the Government on what to scale in the future in the education sector.,source1,,Delayed and reduced funding due to Covid 19 pandemic. ,source1,,Yes,No,Yes,No,,source1,,Yes,No,No,"The applications have been submitted, but the awards has not been announced.",source1,,Yes,source1,,No,No,No,Yes,,source1,,No,,source1,,USD,18400000,source1,"Total programme funding is 18.389M USD. Out of those, over 10M USD will be used for payments to investors/providers. The remaining budget is meant to cover the project costs, including the outcomes evaluation.","A child born in Sierra Leone can expect to complete just 8.9 years of school (or 4.5 years when adjusted for learning) by the time they turn 18, out of a total of 12 years of formal education expected by this age. The 2014 Early Grade Reading Assessment (EGRA) found that 87% of Grade 2 students were unable to read a single word, and that 97% received zero marks on the reading and comprehension assessment. By Primary 4, 60% of children still scored zero on the same reading comprehension test.
Girls face more challenges than boys with regards to education due to teenage pregnancy (the ban for pregnant girls participating in education was lifted only in April 2020), early forced marriages, school related Gender-Based Violence (GBV), and poor in-school sanitation facilities. As such, the Government has prioritized girls education as part of their policy agenda.",5 service providers will be chosen to implement 5 distinct interventions across 5 geographical lots. Specific interventions TBD.,No,Yes,No,No,No,No,No,No,No,No,,,4,,,source1,,"Children enrolled in P1 to P6 across public schools in Sierra Leone, with special focus on girls (outcomes priced 20% higher than those of boys)",134000,Individual,,Yes,No,No,No,source1,,,Sierra Leone,SL
INDIGO-PL-0055,Tunisia Skills-for-Employment RBF Program,,Current,,source1,,Early stage,source1,(Just finalized the scoping phase and will start the design & inception to prepare for launch),No,Yes,No,No,Yes,Yes,,source1,"Outcomes Fund, Payments-by-results (no-prefinancing), Technical Assistance and Market-building program (Must involve dedicated grant resources)    ",No,,source1,,Q1 - 2023,6-12 months,3,Q1-2022,source1,,"The program will be the first results-based financing (RBF) initiative in the skills-for employment space in Tunisia, introducing an innovative model with strong focus on results. The aim is to improve skills matching between workforce and recruiting sectors, ensuring beneficiaries are placed in jobs that are fit for their profile and purpose, as well as supporting their retention in the job over time. The program also aims to provide support to the govenment on the integration of results-based financing mechanisms into the management processes of public funds on employment, as well as through data and learnings generated through the program which can help inform public policies in the country.",source1,,"Limited capacity of local providers to implement the program at scale, coordination between different public agencies and build consensus around the program during the design phase, access to reliable data on employment for the verification of results.",source1,,No,No,Yes,No,"Co-build program design, definition of learning agenda, participation in the selection of providers, receive technical assistance on RBF, data and learnings generated through the program, potential financial contribution to the program.",source1,,Yes,No,No,They will be selected in a two phased process comprising Expression of Interest for the shortlist of organizations that can partipate in the Request for Proposals stage.,source1,,Yes,source1,,No,No,No,Yes,,source1,,Yes,,source1,,USD,5000000,source1,This is the figure for the first stage of the programme. ,"Tunisia is faced with high unemployment levels, with 57% of job seekers being below 30 years old and 75% below 35, with significant geographical and gender disparities.","TBD, but around skills training and preparation for job interviews, placement, workplace training and mediation.",Yes,Yes,No,No,No,No,No,No,No,No,,,"4,8",,,source1,"Other sectors: Informal education, lifelong learning opportunities",All job seekers under specific criteria related to unemployment length and potential criteria for inclusion of groups from vulnerable backgrounds (with potential focus on youth TBC during design & inception),2000,Individual,,No,Yes,No,No,source1,"Around 2,000 beneficiaries in the programme's first phase (approximately 3 years). The fund will initiatlly be focused on the program’s first phase. Based on the results achieved, we will be pursuing the second phase to scale the model - number of beneficiaries not yet defined - and then a final stage for the exit",,Tunisia,TN
INDIGO-PL-0056,Outcomes Fund for Physical Rehabilitation in Pakistan,,Current,,source1,,Scoping,source1,"The problem statement has been identified, preliminary scope of the intervention is identified, a market mapping exercise currently underway.",No,Yes,No,No,Yes,No,,source1,,No,,source1,,Q2 - 2023,12-24 months,TBD,Q3-2021,source1,,The Outcomes Fund approach would facilitate building a data-driven business case during the term of the Outcome Fund that would serve to prove the economic benefit for government to expand healthcare coverage to PR services. This would also help build an evidence base about the cost of delivering quality PR services to different geographies and demographics.,source1,,"The intervention is currently in the concept development phase, where the stakeholders are currently being engaged to convene on the model, mandate, and focus. Engaging the government on committing to expand the health insurance scheme will prove challenging. ",source1,,No,Yes,No,No,,source1,"The government (Ministry of Health, Social Affairs, National Health Insurance Scheme) will be a critical actor in the structure as they will be needed to put in place the commitment to expand the list of services covered by the insurance scheme, in addition to policy development on prioritizing the PR space.",No,Yes,No,,source1,Work at province level. Selected amongst public clinics already suppported by ICRC (given minimum standard level). Provinces defined based on interest and support of local government.,Yes,source1,,Yes,No,No,Yes,,source1,A combination of financing instruments is foreseen,No,,source1,,TBD,TBD,source1,,"With a population of 220 million, there are currently more than 1.1 million people in need of mobility-focused assistive devices. There is significant demand, while the current infrastructure of the physical rehabilitation services is unable to meet this growing demand. In addition, most physical rehabilitation services are not covered by the healthcare insurance scheme, resulting in significant out of pocket expenses by patients.. The intervention seeks to address two key challenges: 1) Ensuring the sustainability of the provision of high-quality physical rehabilitation services, without requiring continued support from the ICRC and 2) Increasing government engagement to ensure sufficient coverage of physical rehabilitation services within the national health insurance scheme.",The end goal is for the government to expand the package of covered services within the national health insurance scheme. This would be achieved through building a data-driven business case during the term of the intervention that would serve to prove the economic and social benefit for the government to expand healthcare coverage to physical rehabilitation services. This would also help build an evidence base about the cost of delivering quality physical rehabilitation services to different geographies and demographics. The intervention envisions to pay physical rehabilitation service providers based on outcomes linked to quality of service delivery and reimburse the national health insurance scheme for the additional services included. ,No,No,No,No,Yes,No,No,No,No,No,,,"3,17",,,source1,Other sector: Physical Rehabilitation (PR) service provision,People with disabilities needing mobility-focused assistive devices. ,TBD,Individual,,No,Yes,No,No,source1,,,Pakistan,PK
INDIGO-PL-0057,The Haiti Impact Facility,,Current,,source1,,Early stage,source1,,Yes,Yes,No,No,Yes,Yes,,source1,,Yes,Part of a larger Outcomes Fund,source1,,Q2 - 2022,6-12 months,6,Q3-2021,source1,6 years to 5 to 10 sub-projects,To improve the delivery of aid in Haiti,source1,,"Lack of understanding of the model, alignment with other Donors' Policy, Set-up of structure to receive/manage funds and Co-financing/fundraising target",source1,,Yes,No,Yes,No,,source1,,Yes,Yes,No,,source1,,Yes,source1,,No,No,No,No,,source1,,No,A technical assistance service contract will be awarded for the development costs of sub-projects under the Facility,source1,,USD or HTG,15000000,source1,,"Maternal health, primary education, sanitation, employment and others",The Facility will be implemented programmatically and contain multiple pay-for-success projects in priority IDB sectors,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,,,"3, 4, 5, 6, 8, 10, 13, 17",,,source1,,"Poor and low-income populations, vulnerable communities, youth women and other traditionally excluded groups",5000,Individual,,No,Yes,No,No,source1,,,Haiti,HT
INDIGO-PL-0058,Impact-Linked Fund for Education,,Current,,source1,,Final negotiations,source1,"Phased Launch: Q2 - 2022, Q3 - 2022, Q4 - 2022, Q1 - 2023, Q2 - 2023 or later",No,Yes,Yes,No,No,Yes,"Other: Impact-Linked Loans, Impact-Linked Revenue Share Agreements, among other instruments. ",source1,,Yes,Dedicated Fund using SIINC and other Impact-Linked Finance instruments,source1,,Q1 - 2022,6-12 months,Open-ended,Q1-2021,source1,,Correcting market failures (by providing financial incentives for achieving learning outcomes) and enabling high-impact education enterprises to unleash their full impact potential as well as raising investment to scale.,source1,,Readiness of enterprises to enter into an Impact-Linked Finance transaction (will be addressed through TA),source1,,No,No,No,Yes,,source1,,Yes,No,Yes,,source1,,Yes,source1,,Yes,Yes,Yes,No,Financial innovations,source1,,No,,source1,,USD,13000000,source1,"USD 13M is the expected total fund size at 2nd closing, 1st closing done (CHF 6M)","According to the UN, over 265 million children globally are currently out of school and 617 million lack minimum proficiency in reading and mathematics. In Sub-Saharan Africa, for example, more than 60% of pupils cannot read or write at the end of primary school. Many innovative education enterprises in developing and emerging economies do not have access to appropriate financing to scale up and create additional impact. Furthermore, these enterprises face a lack of incentives to achieve greater and deeper impact.","High-impact education enterprises provide innovative, sustainable and inclusive solutions in their respective region and field of activity",No,Yes,No,No,No,No,No,No,No,No,,,"1, 4, 5, 10, 17",,,source1,,"Vulnerable, low-income children and youth in (pre-)elemantary and secondary school age.",Each case has a specific target population. TBD.,Individual,,Yes,Yes,Yes,No,source1,,,"Occupied Palestinian Territory, Niger, Chad, Burkina Faso, Lebanon, Côte d’Ivoire, Ghana, Jordan, Egypt, Tunisia, Benin, Mali","JO, LB, ML, PS, BJ, CI, TD, NE, TN, BF, EG, GH"
