Project Name,Country (Detailed),Country (Condensed),Country ISO 3166-1,MultiCountry,Stage,Payments Ceiling - Numeric,Outcome Payments Ceiling,OPC Ceiling Currency,Non-USD,Stage - Notes,Launch Date,Project Development Time,Expected Lengths  In Years,Project Design Began - Date,Why Outcome Based Finance,Key Challenge Assertion,Domestic Gov Funds Project?,Domestic Gov Provides Services?,Domestic Gov On Steering Committee?,Domestic Gov No Formal Role?,Other Role Domestic Gov,Other Gov Role Notes,Feasibility study - (Value),Technical Assistant Grant?,General Finance Notes,Social Dev Challenge,Intervention Model,SDG Mapping,Target Pop Description,Target Pop Size Est,Beneficiaries Description,Beneficiaries - Notes,,
Promotion of School Retention Challenge (Desafío para la promoción de la Retención Escolar),Chile,Chile,CL,,Final negotiations,770000,770000,USD,0,"Project design is completed. Bien Público selected and trained a service provider to implement the intervention, both private and public outcome funders have been recruited to pay for outcomes during a 2-year programme, and are currently negotiating the project with the investor. The intervention at schools was scheduled to start in March 2022. However, the uncertainty due to the Covid-19 pandemic has led to a delay in the project’s start date. Bien Publico aims to launch the project in August 2022 or the first quarter of 2023 at the latest with the investor.",Q3 - 2022,12-24 months,3,Q2-2021,There is a certain level of uncertainty regarding results achieved by educational programs in Chile.  Various public and private institutions are willing to pay for an urgent improvement in the educational outcomes while strengthening the ecosystem and contributing to the evidence body in this sector.,"1) Lack of reliable data due to the pandemic COVID 19 – the available data does not fully capture the effects of the pandemic on the children's educational outcomes and has raised challenge for the design. (2) Uncertainty due to the pandemic COVID 19, social unrest, and other external events – schools could be closed if a new wave hits the country, causing a negative affect the service provider's capacity to deliver services and to measure the outcomes. (3) Coordination of multiple stakeholders - Bien Público is an initiative that brings together more than eight organisations that aim to participate as outcome funders.",Yes,No,No,No,Outcome Funder and support to embed the programme as part of the public policy. ,,Yes,Yes,"$664.000.000 CLP and $140.000.000CLP for monitoring, evaluation and other administrative costs.","Promote school retention and attendance of children and adolescents from vulnerable contexts in the Metropolitan Region  In 2019, among 9th and 11th grade students, the dropout rate in Chile reached around 6.5%. This figure may even increase as a consequence of the pandemic scenario in 2020 and 2021. Also in 2019, a third of Chilean students were chronically absent. This is a highly relevant topic as it can have serious effects on literacy and the acquisition of basic math skills, as well as being a key predictor of school dropout.","Accompaniment, advice, training and delivery of school supplies to all the school community to promote and foster a culture of school involvement to prevent dropout and increase attendance. ","1, 2, 10",Children and adolescents attending 8° and 9° grades at public or subsidized-private schools within the Metropolitan Region. Schools need to have a Vulnerability Index greater than or equal to 70% and a school dropout average rate of at least 7% in the last five years,1060,,1060 children and adolescents,,
Ghana Education Outcomes Fund,Ghana,Ghana,GH,,Final negotiations,30000000,30000000,USD,0,"The project grant agreement was signed with the World Bank and Government of Ghana in July 2020. The procurement process for service providers, investors and the independent verification agent is ongoing",Q3 - 2022,>24 months,5,Q3-2018,"This intervention allows Ghana’s Ministry of Education to use limited existing resources more effectively by linking financing with impact and increasing emphasis on results. This model further improves collaboration among a multitude of stakeholders, brings in private sector expertise, and provides service providers the flexibility for innovative solutions to address specific education challenges for children in Ghana, and in particular OOSC/girls. Opportunity to align well-established non-state based education providers with Government priorities (as programme to be Gov-led) and greater accountability.",,Yes,No,No,No,Project Implementing Agency,,Yes,Yes,"US$30 million ($25.5 million GPRBA grant from FCDO, $4.5 million Government of Ghana)","Whilst Ghana has made progress in expanding access to education, there are still over 450,000 primary-aged children who are out-of-school. For children in-school, learning outcomes are poor. In terms of years of schooling, though children in the country are expected to complete on average 11.6 years of schooling, 5.7 of these years are lost due to poor school content.","Ghana’s Ministry of Education will work with social investors and NGOs as service providers to implement the program, with the objectives of re-integrating OOSC into Ghana’s mainstream school system through an accelerated learning program and improving learning outcomes in the schools in which these children are placed, with special emphasis on girls’ education. The project will also help build sustainable capacity in targeted schools.  Investors will provide the upfront financing in cases where service providers are unable to do so. Outcome payments to investors and/or service providers will be based on agreed-upon outcomes, and technical assistance will be provided for building government capacity to contract and manage outcomes.",4,Out of school children (OOSC) and primary school children grades P1-P4 attending a subset of GALOP beneficiary schools in which OOSC are placed. Emphasis placed on girls.,200000,,"Around 120,000 (80,000 OOSC in areas with the highest absentee and dropout rates, including in Accra, and 120,000 in-school beneficiaries in 600 beneficiary schools)",,
Social Outcomes Contract (SOC) for the Work Inclusion of Inmates,"Italy, Lombardy region",Italy,IT,,Late stage,2800000,2800000,EUR,1,,Q4 - 2022,12-24 months,,,The rationale lies in the need to provide the Prison Administration of the Lombardy Region with the funding required to experiment with innovative work inclusion methods for convicts that would not be otherwise approved or funded.,"Lack of baseline data infrastructure  – essential to validate outcomes and related payments to investors and other stakeholders;
Difficulty connected to integrating the SOC cycle into the administrative procedures and economic planning of the Department of Prison Administration",Yes,No,No,No,,,Yes,Yes,,"Poor social and working inclusion of former inmates result in high reoffending rates. Challenges: Overcrowded detention facilities; working inclusion initiatives are neither systemic, sustainable nor scalable; only a little share of potential recipients currently served",,,Convicts in the Lombardy Region prison system,200,,,,
SOC for Care Leavers,Lithuania,Lithuania,LT,,Early stage,2380000,2380000,EUR,1, A feasibility study has been conducted from Jun-Nov 2021.,,6-12 months,5 years,Q2-2021,"There is a lack of support for young people who are leaving care, but helping them can have large beneficial spillover effects over time. Through a SOC, these benefits can be measured and provide as a basis for including this support in policy over time.",Not launched yet,,,,,,,Yes,Yes,,"Developing the outcomes framework and overall design went quite smoothly, but one important challenge was how such a model could be procured within Lithuanian law. Another issue was to agree on the expected success rates of participants.","The intervention aims to provide individual support services to young adults, through support of a case worker. Additionally, some of the participants will also be provided accommodation. It is suggested that the intervention takes 12 months.","1,3,8,10","Young people between16-24 years old who are leaving care, those who have already left care earlier and are living independently, and young people that are preparing to leave care or living in a family that is facing increased levels of social risk.",500,,"100 participants per year, total of 500 participants",,
Poverty alleviation for women in Bangladesh,Bangladesh,Bangladesh,BD,,Scoping,25000000,25000000,USD,0,,Q2 - 2023,0-6 months,4,,"This instrument provides for larger amounts of capital that are steady, reliable and transformational, and flexible capital explicitly linked to outcomes. Puts NGOs in the driver's seat. Bangladesh has now moved to a middle-income status, has diminishing grant/ODA funding, and needs to recover from the COVID pandemic. Much of BRAC’s testing, piloting and scaling was achieved through its Strategic Partnership Agreement with FCDO and DFAT, which has now decreased. BRAC is seeking Innovative Finance mechanisms to unlock more funding, especially risk capital from investors to both test new models, iterate on existing models and achieve scale, either directly or through government, with whom BRAC has a long-standing relationship. DIB addresses the specific socio-economic context in Bangladesh and BRAC’s relevant response.",Currently in the process of sourcing outcomes funding,No,No,No,No,Not determined yet,,No,No,,"An additional 24 million Bangladeshis are living in poverty as a result of the COVID-19 pandemic. Communities in remote areas, socially excluded women, disabled, and indigenous people were most impacted. Millions of Bangladeshis lack the ability to provide a sustainable livelihood for their families and do not have access to sufficient food, income, health care and education services. Additionally, they lack the skills, networks and resources to engage productively in the economy.","BRAC will be using its evidence-based, multifaceted Graduation model providing a two-year intervention --cash, asset transfer, training, mentoring, linkages to markets to underserved women. This would result in an additional: 1) 50,000 women-headed families permanently above the poverty line 2) Increased participation by women in household decision making 3) Increased productive assets and savings for the poorest Bangladeshis.","1,5,10",Rural women-led households earning less than $1.90/day.,50000,,,,
Digital Work Accelerator,South Africa,South Africa,ZA,,Final negotiations,3500000000,3500000000,ZAR,1,The project has been mobilizing for over 20 months and is in a highly mobilized state between private sector and government,Q4 - 2022,0-6 months,3,,Digital Jobs is one of the only areas in the South African economy where we have more demand for higher complexity digital jobs than supply. We also have a supply and demand mismatch in terms of what skills are being generated. The outcomes financing is intended to realign and scale what the market requires and to do this inclusively.,"Challenges in amending government procurement laws to conform with outcomes funding, despite funding being approved by the government.",Yes,No,Yes,No,,,Yes,Yes,USD 212000000,"South Africa has a youth unemployed rate of about 70%. One million youth enter the job market each year, two thirds of which do not find their way into employment, education, or training. In the digital sector, as a result of the supply and demand mismatch, it is estimated that over 80,000 vacancies go unfilled.",Innovative and efficient and demand driven digital skills apprenticeships to transition poor youth into available vacancies.,8,"Excluded unemployed individuals that have the right profile for the most in-demand digital entry-level roles. We have mapped the demand requirements for these roles in the South African economy and are looking to stimulate 80,000 new jobs by 2025.",80000,,"80,000 beneficiaries by 2025 into higher complexity digital jobs",,
Regenerative Outcomes Finance Platform,Latin America & the Caribbean,Multiple countries,,1,Early stage,,TBD,TBD,,,Q1 - 2023,12-24 months,5,Q1-2022,"Outcomes based financing is being used to help de-risk and accelerate the transition to regenerative agriculture. Outcomes model also allowing for greater focus on ESG reporting, performance management and behavior change.",,No,No,No,Yes,,,Yes,Yes,,"Solving the global climate crisis must consider the impacts of the global food system on the environment. Transitioning to regenerative food production at scale will require a shift in the practices of both large and small producers and of the Food and Beverage industry. The F&B sector has been particularly ambitious in its commitments to cutting supply chain emissions and Net Zero. A transition of this magnitude requires financing that incents farmers in shifting to regenerative practices. It also demands dynamic learning, outcomes-focused pricing methods, new technologies to capture robust data and the identification of new business opportunities for farmers who become regenerative producers.",Multiple transition pathways to be tested for transitioning to regenerative agriculture based on locally appropriate technology and global best practice.,"12,13,15",Small and medium sized agriculture producers of key agriculture commodities that are part of supply chains of large food and beverage companies.,TBD,,,,
Rwanda Poverty Graduation and Climate Resilience Outcomes Project,Rwanda,Rwanda,RW,,Scoping,,,,,,Q2 - 2023,0-6 months,3,,"By tying payment to results, we expect to encourage and provide space for innovation and the highest-quality implementer-led performance management, ensuring multiple service providers can achieve the intended results at scale. It allows implementers to further and better adapt proven solutions to various context, demographics, and populations by putting the people we serve at the program’s center. This has been proven through the success of the Village Enterprise DIB, Africa’s first for poverty alleviation, which exceeded its targets and shielded households from the worst of the Covid-19 pandemic’s economic impacts.",Outcomes funding,No,No,No,No,Currently the domestic government is a partner in codesigning the project.,,,,,"In Rwanda over 6 million people are living in extreme poverty and climate change deepens inequalities as more frequent storms, flooding, drought, and changes in rainfall patterns are impacting the poorest communities the most, making it even more difficult to secure decent livelihoods. The government of Rwanda has adopted a Graduation Policy to eliminate poverty by 2030, but in the context of global funding constraints and varying returns to graduation programming across countries, there is more we must learn about how to most cost effectively graduate households to resilience in the Rwandan context. This outcomes project will incorporate a rigorous, rapid-cycle learning agenda from the onset of the project, and by tying payment to results will provide the flexibility and incentive to iterate, learn, and scale successfully.","Village Enterprise’s approach to economic inclusion centers around or cost-effective, one-year ‘Poverty Graduation’ model. We use rigorous targeting to identify rural households living in extreme poverty, provide training around savings, loans, and microenterprise development, establish ‘Business Savings Groups’ of thirty individuals, provide seed capital grants to start group businesses, and support through mentoring.","1,5,13",Rural extreme poor households earning less than $1.90/day,54000,Households,"Target population: Minimum of 54,000 households and 360,000 direct and indirectly impacted individuals in the first three years.",,
Moovjee Talents,Five regions including Ile-de-France and Occitanie,France,FR,,Final negotiations,2429618,2429618,EUR,0,,Q1 - 2023,6-12 months,3,2022-04,Social Innovation,Definition of relevant metrics; access to reference data,Yes,No,No,No,No,,No,No,,"Help vulnerable young people access sustainable employment 
",Support through mentoring,,Young people between 18 and 30 with difficult access to employment (75% of them from vulnerable population groups),1600,,,,
Support to mobility and employment of overseas students (Article 1),"mainland France: Lyon, Montpellier and Versailles academic areas, Antilles & Guyane, La Réunion & Mayotte",France,FR,,Final negotiations,2867686,2867686,EUR,0,,Q1 - 2023,6-12 months,5,2022-04,Social Innovation,Definition of relevant metrics; access to reference data,Yes,No,No,No,No,,No,No,,Overseas students have more difficulties to access employmen,1. Employability workshops with high school students overseas; 2. Mixed residences with overseas and mainland students in higher education including collective and individual support toward social and work integration.,4,1200 overseas students in high school and 160 overseas students in higher education in mainland France (+ 160 mainland students),1520,,,,
Clubhouse,"Lyon, Bordeaux, Paris, Lille, Nantes",France,FR,,Late stage,2217557,2217557,EUR,0,,Q1 - 2023,6-12 months,5,2022-04,Social Innovation,Definition of relevant metrics; access to reference data; operations: legal framework for transition jobs,Yes,No,No,No,No,,No,No,,People with mental disorders need more flexible working conditions to get back to employment,"Flexible, part-time “Transition jobs” offered to Clubhouse members. In parallel,the IB aims to define a secure legal framework for these transition jobs.",,Clubhouse members with mental disorders,483,,,,
DECLIC Emploi (Les Eaux Vives – Emmaüs),Loire-Atlantique,France,FR,,Final negotiations,3179480,3179480,EUR,0,,Q1 - 2023,6-12 months,5,2022-04,Social Innovation,Definition of relevant metrics; access to reference data,Yes,No,No,No,No,,No,No,,Getting people with mental disorders to employment,"Working first approach; 2. Social, professional, and health support; 3. Peer mentoring",8,People with mental disorders without official ‘disabled worker’ status,240,,,,
Employment modes (modes d’emploi) (Gojob),TBD,Multiple countries,FR,1,Final negotiations,2527350,2527350,EUR,0,,Q1 - 2023,6-12 months,3,2022-04,Social Innovation,Definition of relevant metrics; access to reference data; contracting framework without external investors,Yes,No,No,No,No,,No,No,,Getting disadvantaged young NEETs into employment,1. Work first approach; 2. Algorithm to match NEETs and employing opportunities without discrimination bias; 3. Online training and mentoring,10,NEETs between 15 and 29,3600,,,,
